 G,Date,Start (ET),,,,Opponent,,,Tm,Opp,W,L,Streak,Notes
61,Sat Feb 25 2023,8:00p,,Box Score,@,Memphis Grizzlies,L,,94,112,42,19,L 1,
62,Sun Feb 26 2023,10:00p,,Box Score,,Los Angeles Clippers,W,OT,134,124,43,19,W 1,
63,Tue Feb 28 2023,8:00p,,Box Score,@,Houston Rockets,W,,133,112,44,19,W 2,
64,Fri Mar 3 2023,10:00p,,Box Score,,Memphis Grizzlies,W,,113,97,45,19,W 3,
65,Mon Mar 6 2023,9:00p,,Box Score,,Toronto Raptors,W,,118,113,46,19,W 4,
66,Wed Mar 8 2023,9:00p,,Box Score,,Chicago Bulls,L,,96,117,46,20,L 1,
67,Fri Mar 10 2023,8:00p,,Box Score,@,San Antonio Spurs,L,,120,128,46,21,L 2,
68,Sun Mar 12 2023,3:30p,,Box Score,,Brooklyn Nets,L,,120,122,46,22,L 3,
69,Tue Mar 14 2023,7:30p,,Box Score,@,Toronto Raptors,L,,110,125,46,23,L 4,
70,Thu Mar 16 2023,7:00p,,Box Score,@,Detroit Pistons,W,,119,100,47,23,W 1,
71,Sat Mar 18 2023,1:00p,,Box Score,@,New York Knicks,L,,110,116,47,24,L 1,
72,Sun Mar 19 2023,3:30p,,Box Score,@,Brooklyn Nets,W,,108,102,48,24,W 1,
73,Wed Mar 22 2023,7:00p,,Box Score,@,Washington Wizards,W,,118,104,49,24,W 2,
74,Sat Mar 25 2023,9:00p,,Box Score,,Milwaukee Bucks,W,,129,106,50,24,W 3,
75,Mon Mar 27 2023,9:30p,,Box Score,,Philadelphia 76ers,W,,116,111,51,24,W 4,
76,Thu Mar 30 2023,10:00p,,Box Score,,New Orleans Pelicans,L,,88,107,51,25,L 1,
77,Fri Mar 31 2023,10:30p,,Box Score,@,Phoenix Suns,L,,93,100,51,26,L 2,
78,Sun Apr 2 2023,8:30p,,Box Score,,Golden State Warriors,W,,112,110,52,26,W 1,
79,Tue Apr 4 2023,8:00p,,Box Score,@,Houston Rockets,L,,103,124,52,27,L 1,
80,Thu Apr 6 2023,10:00p,,Box Score,@,Phoenix Suns,L,,115,119,52,28,L 2,
81,Sat Apr 8 2023,3:30p,,Box Score,@,Utah Jazz,L,,114,118,52,29,L 3,
82,Sun Apr 9 2023,3:30p,,Box Score,,Sacramento Kings,W,,109,95,53,29,W 1
